GeneID	Product_Description
PF3D7_0936600	gametocyte exported protein 5
PF3D7_0936700	lysophospholipase, putative
PF3D7_0936800	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0936900	Plasmodium exported protein (PHISTb), unknown function, pseudogene
PF3D7_0937000	Plasmodium exported protein (PHISTb), unknown function
PF3D7_0937100	Plasmodium exported protein, unknown function
PF3D7_0937200	lysophospholipase, putative
PF3D7_0937300	rifin
PF3D7_0937400	rifin
PF3D7_0937500	rifin
PF3D7_0937600	erythrocyte membrane protein 1, PfEMP1
PF3D7_0937700	rifin
PF3D7_0937800	erythrocyte membrane protein 1, PfEMP1
PF3D7_1000100	erythrocyte membrane protein 1, PfEMP1
PF3D7_1000200	rifin
PF3D7_1000300	rifin
PF3D7_1000400	rifin
PF3D7_1000500	rifin
PF3D7_1000600	rifin
PF3D7_1000700	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_1000800	stevor, pseudogene
PF3D7_1000900	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1001000	Plasmodium exported protein (hyp12), unknown function
PF3D7_1001100	acyl-CoA binding protein, isoform 1, ACBP1
PF3D7_1001200	acyl-CoA binding protein, isoform 2, ACBP2
PF3D7_1001300	Plasmodium exported protein (PHISTa), unknown function
PF3D7_1001400	exported lipase 1
PF3D7_1001500	early transcribed membrane protein 10.1
PF3D7_1001600	exported lipase 2
PF3D7_1001700	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1001800	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1001900	Plasmodium exported protein (hyp16), unknown function
PF3D7_1002000	Plasmodium exported protein (hyp2), unknown function
PF3D7_1002100	EMP1-trafficking protein
PF3D7_1002200	tryptophan-rich antigen 3
PF3D7_1002300	conserved Plasmodium protein, unknown function
PF3D7_1002400	transformer-2 protein homolog beta, putative
PF3D7_1002500	conserved protein, unknown function
PF3D7_1002600	conserved Plasmodium protein, unknown function
PF3D7_1002700	conserved Plasmodium protein, unknown function
PF3D7_1002800	DnaJ protein, putative
PF3D7_1002900	conserved Plasmodium protein, unknown function
PF3D7_1003000	guanylate cyclase organizer UGO, putative
PF3D7_1003100	conserved protein, unknown function
PF3D7_1003200	ribosome-binding factor A, putative
PF3D7_1003300	N-terminal acetyltransferase A complex catalytic subunit ARD1, putative
PF3D7_1003400	conserved Plasmodium protein, unknown function
PF3D7_1003500	40S ribosomal protein S20e, putative
PF3D7_1003600	inner membrane complex protein 1c, putative
PF3D7_1003700	MKT1 domain-containing protein, putative
PF3D7_1003800	U5 small nuclear ribonucleoprotein component, putative
PF3D7_1003900	dynein attachment factor-domain containing protein, putative
PF3D7_1004000	60S ribosomal protein L13, putative
PF3D7_1004100	conserved Plasmodium protein, unknown function
PF3D7_1004200	WD repeat-containing protein, putative
PF3D7_1004300	E3 ubiquitin-protein ligase, putative
PF3D7_1004400	RNA-binding protein, putative
PF3D7_1004500	conserved Plasmodium protein, unknown function
PF3D7_1004600	conserved Plasmodium membrane protein, unknown function
PF3D7_1004700	conserved protein, unknown function
PF3D7_1004800	ADP/ATP carrier protein, putative
PF3D7_1004900	conserved protein, unknown function
PF3D7_1005000	methionine--tRNA ligase, putative
PF3D7_1005100	U3 small nucleolar RNA-associated protein 25, putative
PF3D7_1005200	conserved Plasmodium protein, unknown function
PF3D7_1005300	conserved Plasmodium protein, unknown function
PF3D7_1005400	conserved Plasmodium protein, unknown function
PF3D7_1005500	regulator of nonsense transcripts 1, putative
PF3D7_1005600	DnaJ protein, putative
PF3D7_1005700	peptidase, putative
PF3D7_1005800	conserved Plasmodium membrane protein, unknown function
PF3D7_1005900	conserved protein, unknown function
PF3D7_1006000	IMP1-like protein, putative
PF3D7_1006100	CCR4-NOT transcription complex subunit 5, putative
PF3D7_1006200	DNA/RNA-binding protein Alba 3
PF3D7_1006300	conserved Plasmodium protein, unknown function
PF3D7_1006400	heptatricopeptide repeat-containing protein, putative
PF3D7_1006500	conserved Plasmodium protein, unknown function
PF3D7_1006600	phosducin-like protein 3, putative
PF3D7_1006700	conserved Plasmodium protein, unknown function
PF3D7_1006800	G-strand-binding protein 2, putative
PF3D7_1006900	PPPDE peptidase, putative
PF3D7_1007000	transmembrane protein 147, putative
PF3D7_1007100	roadblock/LC7 domain-containing protein, putative
PF3D7_1007200	rho GTPase-activating protein, putative
PF3D7_1007300	RING zinc finger protein, putative
PF3D7_1007400	conserved protein, unknown function
PF3D7_1007500	conserved Plasmodium protein, unknown function
PF3D7_1007600	conserved protein, unknown function
PF3D7_1007700	AP2 domain transcription factor AP2-I
PF3D7_1007800	conserved Plasmodium protein, unknown function
PF3D7_1007900	eukaryotic translation initiation factor 3 subunit D, putative
PF3D7_1008000	histone deacetylase 2
PF3D7_1008100	PHD finger protein PHD1
PF3D7_1008200	flap endonuclease, putative
PF3D7_1008300	AP-5 complex subunit sigma-1, putative, pseudogene
PF3D7_1008400	26S protease regulatory subunit 4, putative
PF3D7_1008500	protein GPR89, putative
PF3D7_1008600	zinc finger (CCCH type) protein, putative
PF3D7_1008700	tubulin beta chain
PF3D7_1008800	nucleolar protein 5, putative
PF3D7_1008900	adenylate kinase
PF3D7_1009000	diphthine methyl ester synthase, putative
PF3D7_1009100	conserved Plasmodium membrane protein, unknown function
PF3D7_1009200	ribonuclease, putative
PF3D7_1009300	AMP-binding protein, putative
PF3D7_1009400	zinc finger protein, putative
PF3D7_1009500	metalloprotease, putative
PF3D7_1009600	protein phosphatase PPM10, putative
PF3D7_1009700	tubulin--tyrosine ligase, putative
PF3D7_1009800	conserved Plasmodium membrane protein, unknown function
PF3D7_1009900	heptatricopeptide repeat-containing protein, putative
PF3D7_1010000	ribosomal protein L43, mitochondrial, putative
PF3D7_1010100	PI31 domain-containing protein, putative
PF3D7_1010200	DNA2/NAM7 helicase, putative
PF3D7_1010300	succinate dehydrogenase subunit 4, putative
PF3D7_1010400	MORN repeat protein, putative
PF3D7_1010500	ankyrin-repeat protein, putative
PF3D7_1010600	eukaryotic translation initiation factor 2 subunit beta
PF3D7_1010700	dolichyl-phosphate-mannose--protein mannosyltransferase, putative
PF3D7_1010800	50S ribosomal protein L22, mitochondrial, putative
PF3D7_1010900	conserved Plasmodium protein, unknown function
PF3D7_1011000	inner membrane complex sub-compartment protein 1
PF3D7_1011100	conserved Plasmodium protein, unknown function
PF3D7_1011200	BET1-like protein, putative
PF3D7_1011300	protein ARV1, putative
PF3D7_1011400	proteasome subunit beta type-5
PF3D7_1011500	conserved protein, unknown function
PF3D7_1011600	heptatricopeptide repeat-containing protein, putative
PF3D7_1011700	DNA repair protein RAD23, putative
PF3D7_1011800	PRE-binding protein
PF3D7_1011900	heme oxygenase
PF3D7_1012000	RING zinc finger protein, putative
PF3D7_1012100	conserved protein, unknown function
PF3D7_1012200	rhoptry associated adhesin
PF3D7_1012300	cytochrome b-c1 complex subunit 7, putative
PF3D7_1012400	hypoxanthine-guanine phosphoribosyltransferase
PF3D7_1012500	phosphoglucomutase, putative
PF3D7_1012600	GMP synthase [glutamine-hydrolyzing]
PF3D7_1012700	NLI interacting factor-like phosphatase, putative
PF3D7_1012800	conserved Plasmodium protein, unknown function
PF3D7_1012900	autophagy-related protein 18
PF3D7_1013000	zinc finger protein, putative
PF3D7_1013100	U3 small nucleolar RNA-associated protein 13, putative
PF3D7_1013200	conserved Plasmodium protein, unknown function
PF3D7_1013300	conserved Plasmodium protein, unknown function
PF3D7_1013400	conserved Plasmodium protein, unknown function
PF3D7_1013500	phosphoinositide-specific phospholipase C
PF3D7_1013600	conserved Plasmodium protein, unknown function
PF3D7_1013700	conserved Plasmodium protein, unknown function
PF3D7_1013800	conserved Plasmodium protein, unknown function
PF3D7_1013900	translation initiation factor eIF-2B subunit delta, putative
PF3D7_1014000	GDP-L-fucose synthase
PF3D7_1014100	merozoite surface protein MSA180
PF3D7_1014200	male gamete fusion factor HAP2, putative
PF3D7_1014300	SPRY domain-containing protein, putative
PF3D7_1014400	MO15-related protein kinase
PF3D7_1014500	conserved Plasmodium protein, unknown function
PF3D7_1014600	transcriptional coactivator ADA2
PF3D7_1014700	prohibitin 2, putative
PF3D7_1014800	conserved Plasmodium protein, unknown function
PF3D7_1014900	protein KIC8
PF3D7_1015000	FAD synthetase, putative
PF3D7_1015100	CWC16 domain-containing protein, putative
PF3D7_1015200	cysteine--tRNA ligase
PF3D7_1015300	methionine aminopeptidase 1b, putative
PF3D7_1015400	conserved Plasmodium protein, unknown function
PF3D7_1015500	nucleotidyltransferase, putative
PF3D7_1015600	heat shock protein 60
PF3D7_1015700	tubulin binding cofactor c, putative
PF3D7_1015800	ribonucleoside-diphosphate reductase small chain, putative
PF3D7_1015900	enolase
PF3D7_1016000	conserved Plasmodium protein, unknown function
PF3D7_1016100	conserved Plasmodium protein, unknown function
PF3D7_1016200	Rab3 GTPase-activating protein non-catalytic subunit, putative
PF3D7_1016300	GBP130 protein
PF3D7_1016400	serine/threonine protein kinase, FIKK family
PF3D7_1016500	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016600	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016700	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016800	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016900	early transcribed membrane protein 10.3
PF3D7_1017000	DNA polymerase delta catalytic subunit
PF3D7_1017100	rhoptry neck protein 12
PF3D7_1017200	enoyl-CoA hydratase-related protein, putative
PF3D7_1017300	golgi re-assembly stacking protein 1
PF3D7_1017400	phosphomannomutase, putative
PF3D7_1017500	myosin essential light chain ELC
PF3D7_1017600	conserved Plasmodium protein, unknown function
PF3D7_1017700	conserved Plasmodium protein, unknown function
PF3D7_1017800	conserved Plasmodium protein, unknown function
PF3D7_1017900	26S proteasome regulatory subunit p55, putative
PF3D7_1018000	tRNA pseudouridine synthase, putative
PF3D7_1018100	conserved Plasmodium protein, unknown function
PF3D7_1018200	serine/threonine protein phosphatase 8, putative
PF3D7_1018300	peptidase, putative
PF3D7_1018400	conserved Plasmodium protein, unknown function
PF3D7_1018500	pre-mRNA-splicing factor RDS3, putative
PF3D7_1018600	tRNA wybutosine-synthesizing protein, putative
PF3D7_1018700	conserved Plasmodium protein, unknown function
PF3D7_1018800	conserved protein, unknown function
PF3D7_1018900	conserved Plasmodium protein, unknown function
PF3D7_1019000	eukaryotic translation initiation factor subunit eIF2A, putative
PF3D7_1019100	conserved Plasmodium protein, unknown function
PF3D7_1019200	conserved Plasmodium protein, unknown function
PF3D7_1019300	zinc finger protein, putative
PF3D7_1019400	60S ribosomal protein L30e, putative
PF3D7_1019500	TMEM94 domain-containing protein, putative
PF3D7_1019600	conserved Plasmodium protein, unknown function
PF3D7_1019700	conserved Plasmodium protein, unknown function
PF3D7_1019800	tRNA methyltransferase, putative
PF3D7_1019900	autophagy-related protein 8
PF3D7_1020000	RNA-binding protein 34, putative
PF3D7_1020100	flagellar outer arm dynein-associated protein, putative
PF3D7_1020200	conserved Plasmodium protein, unknown function
PF3D7_1020300	cytoplasmic dynein intermediate chain, putative
PF3D7_1020400	rRNA (cytosine-C(5))-methyltransferase, putative
PF3D7_1020500	ribosomal silencing factor RsfS, putative
PF3D7_1020600	conserved Plasmodium membrane protein, unknown function
PF3D7_1020700	N-acetyltransferase, GNAT family, putative
PF3D7_1020800	dihydrolipoamide acyltransferase component E2
PF3D7_1020900	ADP-ribosylation factor
PF3D7_1021000	conserved protein, unknown function
PF3D7_1021100	conserved Plasmodium protein, unknown function
PF3D7_1021200	conserved Plasmodium protein, unknown function
PF3D7_1021300	apicoplast integral membrane protein, putative
PF3D7_1021400	endomembrane protein 70, putative
PF3D7_1021500	ATP-dependent RNA helicase ROK1, putative
PF3D7_1021600	deoxyribose-phosphate aldolase, putative
PF3D7_1021700	conserved Plasmodium membrane protein, unknown function
PF3D7_1021800	schizont egress antigen-1
PF3D7_1021900	PHAX domain-containing protein, putative
PF3D7_1022000	RNA-binding protein, putative
PF3D7_1022100	methyltransferase, putative
PF3D7_1022200	conserved Plasmodium membrane protein, unknown function
PF3D7_1022300	ZIP domain-containing protein, putative
PF3D7_1022400	serine/arginine-rich splicing factor 4
PF3D7_1022500	citrate synthase, mitochondrial, putative
PF3D7_1022600	kelch protein K10
PF3D7_1022700	phospholipid scramblase, putative
PF3D7_1022800	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), putative
PF3D7_1022900	CDGSH iron-sulfur domain-containing protein, putative
PF3D7_1023000	conserved Plasmodium protein, unknown function
PF3D7_1023100	dynein heavy chain, putative
PF3D7_1023200	orotidine 5'-phosphate decarboxylase
PF3D7_1023300	conserved protein, unknown function
PF3D7_1023400	HORMA domain protein, putative
PF3D7_1023500	conserved Plasmodium protein, unknown function
PF3D7_1023600	conserved protein, unknown function
PF3D7_1023700	conserved Plasmodium protein, unknown function
PF3D7_1023800	conserved Plasmodium protein, unknown function
PF3D7_1023900	chromodomain-helicase-DNA-binding protein 1 homolog, putative
PF3D7_1024000	conserved Plasmodium protein, unknown function
PF3D7_1024100	conserved Plasmodium protein, unknown function
PF3D7_1024200	RNA-binding protein, putative
PF3D7_1024300	ATP synthase-associated protein, putative
PF3D7_1024400	conserved Plasmodium protein, unknown function
PF3D7_1024500	conserved Plasmodium protein, unknown function
PF3D7_1024600	RAP protein, putative
PF3D7_1024700	conserved protein, unknown function
PF3D7_1024800	exported protein 3
PF3D7_1024900	conserved Plasmodium protein, unknown function
PF3D7_1025000	Eps15-like protein
PF3D7_1025100	glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative
PF3D7_1025200	ATP synthase mitochondrial F1 complex assembly factor 2, putative
PF3D7_1025300	conserved protein, unknown function
PF3D7_1025400	conserved Plasmodium membrane protein, unknown function
PF3D7_1025500	conserved Plasmodium protein, unknown function
PF3D7_1025600	cytochrome c oxidase copper chaperone, putative
PF3D7_1025700	conserved protein, unknown function
PF3D7_1025800	conserved protein, unknown function
PF3D7_1025900	conserved protein, unknown function
PF3D7_1026000	conserved Plasmodium protein, unknown function
PF3D7_1026100	conserved Plasmodium protein, unknown function
PF3D7_1026200	conserved protein, unknown function
PF3D7_1026300	conserved Plasmodium protein, unknown function
PF3D7_1026400	cell division cycle protein 20 homolog, putative
PF3D7_1026500	conserved Plasmodium protein, unknown function
PF3D7_1026600	conserved Plasmodium protein, unknown function
PF3D7_1026800	40S ribosomal protein S2
PF3D7_1026900	biotin--protein ligase 1
PF3D7_1027000	conserved Plasmodium protein, unknown function
PF3D7_1027100	U3 small nucleolar ribonucleoprotein protein MPP10, putative
PF3D7_1027200	ribosomal protein S22, mitochondrial, putative
PF3D7_1027300	peroxiredoxin
PF3D7_1027400	DNA-directed RNA polymerase II subunit RPB7, putative
PF3D7_1027500	conserved Plasmodium protein, unknown function
PF3D7_1027600	meiotic recombination protein SPO11-2, putative
PF3D7_1027700	centrin-3
PF3D7_1027800	60S ribosomal protein L3
PF3D7_1027900	palmitoyltransferase DHHC10, putative
PF3D7_1028000	methyltransferase, putative
PF3D7_1028100	protoporphyrinogen oxidase
PF3D7_1028200	RING zinc finger protein, putative
PF3D7_1028300	rRNA-processing protein EBP2, putative
PF3D7_1028400	ribosome biogenesis protein RPF2, putative
PF3D7_1028500	partial CSTF domain-containing protein, putative
PF3D7_1028600	conserved Plasmodium protein, unknown function
PF3D7_1028700	merozoite TRAP-like protein
PF3D7_1028800	conserved protein, unknown function
PF3D7_1028900	inner membrane complex protein 1m, putative
PF3D7_1029000	conserved Plasmodium protein, unknown function, pseudogene
PF3D7_1029100	conserved Plasmodium protein, unknown function
PF3D7_1029200	WD repeat-containing protein, putative
PF3D7_1029300	conserved protein, unknown function
PF3D7_1029400	LEM3/CDC50 family protein, putative
PF3D7_1029500	conserved Plasmodium protein, unknown function
PF3D7_1029600	adenosine deaminase
PF3D7_1029700	conserved Plasmodium protein, unknown function
PF3D7_1029800	heptatricopeptide repeat and RAP domain-containing protein, putative
PF3D7_1029900	conserved Plasmodium protein, unknown function
PF3D7_1030000	transcription elongation factor SPT4, putative
PF3D7_1030100	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative
PF3D7_1030200	claudin-like apicomplexan microneme protein, putative
PF3D7_1030300	conserved Plasmodium protein, unknown function
PF3D7_1030400	conserved protein, unknown function
PF3D7_1030500	26S proteasome regulatory subunit RPN9, putative
PF3D7_1030600	tRNA N6-adenosine threonylcarbamoyltransferase
PF3D7_1030700	RNA methyltransferase, putative
PF3D7_1030800	calmodulin, putative
PF3D7_1030900	ookinete surface protein P28
PF3D7_1031000	ookinete surface protein P25
PF3D7_1031100	conserved Plasmodium protein, unknown function
PF3D7_1031200	MORN repeat-containing protein 1
PF3D7_1031300	SAE2 domain-containing protein, putative
PF3D7_1031400	OTU-like cysteine protease
PF3D7_1031500	DEAD/DEAH box helicase, putative
PF3D7_1031600	protein GEXP15
PF3D7_1031700	protein phosphatase inhibitor 3
PF3D7_1031800	conserved protein, unknown function
PF3D7_1031900	conserved Plasmodium protein, unknown function
PF3D7_1032000	ribosome maturation factor RimM, putative
PF3D7_1032100	mRNA-decapping enzyme subunit 1, putative
PF3D7_1032200	conserved Plasmodium protein, unknown function
PF3D7_1032300	conserved protein, unknown function
PF3D7_1032400	phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative
PF3D7_1032500	DER1-like protein, putative
PF3D7_1032600	conserved protein, unknown function
PF3D7_1032700	conserved Plasmodium protein, unknown function
PF3D7_1032800	leucine-rich repeat protein
PF3D7_1032900	RNA polymerase II-associated protein 1, putative
PF3D7_1033000	heptatricopeptide repeat-containing protein HPR1, putative
PF3D7_1033100	S-adenosylmethionine decarboxylase/ornithine decarboxylase
PF3D7_1033200	early transcribed membrane protein 10.2
PF3D7_1033300	conserved protein, unknown function
PF3D7_1033400	haloacid dehalogenase-like hydrolase
PF3D7_1033500	WD repeat-containing protein 70, putative
PF3D7_1033600	pre-mRNA-splicing factor CEF1, putative
PF3D7_1033700	bromodomain protein 1
PF3D7_1033800	plasmepsin VII
PF3D7_1033900	ubiquitin-conjugating enzyme E2, putative
PF3D7_1034000	Sec1 family protein, putative
PF3D7_1034100	conserved protein, unknown function
PF3D7_1034200	ribosomal protein L27, putative
PF3D7_1034300	thioredoxin-like associated protein 2, putative
PF3D7_1034400	flavoprotein subunit of succinate dehydrogenase
PF3D7_1034500	conserved Plasmodium protein, unknown function
PF3D7_1034600	translation initiation factor IF-3, putative
PF3D7_1034700	ADP-ribosylation factor, putative
PF3D7_1034800	conserved protein, unknown function
PF3D7_1034900	methionine--tRNA ligase
PF3D7_1035000	U2 snRNA/tRNA pseudouridine synthase, putative
PF3D7_1035100	probable protein, unknown function
PF3D7_1035200	S-antigen
PF3D7_1035300	glutamate-rich protein GLURP
PF3D7_1035400	merozoite surface protein 3
PF3D7_1035500	merozoite surface protein 6
PF3D7_1035600	merozoite surface protein
PF3D7_1035700	duffy binding-like merozoite surface protein
PF3D7_1035800	probable protein, unknown function
PF3D7_1035900	merozoites-associated armadillo repeats protein
PF3D7_1036000	merozoite surface protein 11
PF3D7_1036300	duffy binding-like merozoite surface protein 2
PF3D7_1036400	liver stage antigen 1
PF3D7_1036500	conserved Plasmodium protein, unknown function
PF3D7_1036600	conserved protein, unknown function
PF3D7_1036700	phosducin-like protein 2, putative
PF3D7_1036800	acetyl-CoA transporter, putative
PF3D7_1036900	conserved Plasmodium protein, unknown function
PF3D7_1037000	DNA polymerase zeta catalytic subunit, putative
PF3D7_1037100	pyruvate kinase 2
PF3D7_1037200	conserved Plasmodium protein, unknown function
PF3D7_1037300	ADP/ATP transporter on adenylate translocase
PF3D7_1037400	conserved Plasmodium protein, unknown function
PF3D7_1037500	dynamin-like protein
PF3D7_1037600	TFIIH basal transcription factor complex helicase XPB subunit, putative
PF3D7_1037700	enhancer of rudimentary homolog, putative
PF3D7_1037800	dynein intermediate chain, putative
PF3D7_1037900	conserved Plasmodium protein, unknown function
PF3D7_1038000	antigen UB05
PF3D7_1038100	GDP dissociation inhibitor, putative
PF3D7_1038200	conserved Plasmodium protein, unknown function
PF3D7_1038300	conserved Plasmodium protein, unknown function
PF3D7_1038400	gametocyte-specific protein
PF3D7_1038500	Plasmodium exported protein, unknown function
PF3D7_1038600	Plasmodium exported protein, unknown function
PF3D7_1038700	Plasmodium exported protein, unknown function
PF3D7_1038800	RESA-like protein with PHIST and DnaJ domains
PF3D7_1038900	esterase, putative
PF3D7_1039000	serine/threonine protein kinase, FIKK family
PF3D7_1039100	DnaJ protein, putative, pseudogene
PF3D7_1039200	Plasmodium exported protein, unknown function, pseudogene
PF3D7_1039400	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1039600	exported protein family 1, pseudogene
PF3D7_1039700	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1039800	exported protein family 3
PF3D7_1039900	exported protein family 4
PF3D7_1040000	rifin
PF3D7_1040100	rifin
PF3D7_1040200	stevor
PF3D7_1040300	rifin
PF3D7_1040400	rifin
PF3D7_1040500	rifin
PF3D7_1040600	rifin
PF3D7_1040700	rifin
PF3D7_1040800	rifin
PF3D7_1040900	rifin
PF3D7_1041000	rifin
PF3D7_1041100	rifin
PF3D7_1041200	rifin
PF3D7_1041300	erythrocyte membrane protein 1, PfEMP1
PF3D7_1100100	erythrocyte membrane protein 1, PfEMP1
PF3D7_1100200	erythrocyte membrane protein 1, PfEMP1
PF3D7_1100300	rifin
PF3D7_1100400	rifin
PF3D7_1100500	rifin
PF3D7_1100600	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_1100700	stevor, pseudogene
PF3D7_1100800	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1100900	exported protein family 1, pseudogene
PF3D7_1101000	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1101100	rifin
PF3D7_1101200	rifin
PF3D7_1101300	rifin
PF3D7_1101400	rifin, pseudogene
PF3D7_1101500	exported protein family 4
PF3D7_1101600	exported protein family 3
PF3D7_1101700	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1101800	exported protein family 1
PF3D7_1101900	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1102100	Plasmodium exported protein, unknown function, pseudogene
PF3D7_1102200	DnaJ protein, putative
PF3D7_1102300	Plasmodium exported protein, unknown function
PF3D7_1102400	phosphopantothenate--cysteine ligase, putative
PF3D7_1102500	gametocyte exported protein 2
PF3D7_1102600	Plasmodium exported protein, unknown function
PF3D7_1102700	early transcribed membrane protein 11.1
PF3D7_1102800	early transcribed membrane protein 11.2
PF3D7_1102900	Plasmodium exported protein (hyp11), unknown function
PF3D7_1103000	conserved Plasmodium protein, unknown function
PF3D7_1103100	60S acidic ribosomal protein P1, putative
PF3D7_1103200	tRNA Glycine
PF3D7_1103300	tRNA Leucine
PF3D7_1103400	iron-sulfur cluster assembly protein SufD
PF3D7_1103500	CPW-WPC family protein
PF3D7_1103600	actin-like protein, putative
PF3D7_1103700	casein kinase II beta chain
PF3D7_1103800	CCR4-NOT transcription complex subunit 1, putative
PF3D7_1103900	RIIa domain-containing protein, putative
PF3D7_1104000	phenylalanine--tRNA ligase beta subunit
PF3D7_1104100	syntaxin, Qa-SNARE family
PF3D7_1104200	chromatin remodeling protein
PF3D7_1104300	conserved Plasmodium protein, unknown function
PF3D7_1104400	thioredoxin-like mero protein
PF3D7_1104500	WD repeat-containing protein, putative
PF3D7_1104600	radial spoke head protein, putative
PF3D7_1104700	DNA-directed RNA polymerase III subunit RPC8, putative
PF3D7_1104800	metabolite/drug transporter, putative
PF3D7_1104900	calcium/calmodulin-dependent protein kinase, putative
PF3D7_1105000	histone H4
PF3D7_1105100	histone H2B
PF3D7_1105200	WD repeat-containing protein WRAP73, putative
PF3D7_1105300	conserved Plasmodium protein, unknown function
PF3D7_1105400	40S ribosomal protein S4, putative
PF3D7_1105500	centrin-4
PF3D7_1105600	translocon component PTEX88
PF3D7_1105700	tRNA-splicing ligase RtcB, putative
PF3D7_1105800	conserved Apicomplexan protein, unknown function
PF3D7_1105900	conserved Plasmodium membrane protein, unknown function
PF3D7_1106000	RuvB-like helicase 2
PF3D7_1106100	ribosomal protein S15, apicoplast, putative
PF3D7_1106200	conserved Plasmodium protein, unknown function
PF3D7_1106300	5'-3' exoribonuclease 1, putative
PF3D7_1106400	conserved Plasmodium protein, unknown function
PF3D7_1106500	conserved Plasmodium protein, unknown function
PF3D7_1106600	DEAD/DEAH box helicase, putative
PF3D7_1106700	DNA replication ATP-dependent helicase/nuclease DNA2, putative
PF3D7_1106800	pseudo-tyrosine kinase-like protein
PF3D7_1106900	conserved Plasmodium protein, unknown function
PF3D7_1107000	U6 snRNA-associated Sm-like protein LSm4, putative
PF3D7_1107100	nucleic acid binding protein, putative
PF3D7_1107200	conserved protein, unknown function
PF3D7_1107300	polyadenylate-binding protein-interacting protein 1, putative
PF3D7_1107400	DNA repair protein RAD51
PF3D7_1107500	prefoldin, putative
PF3D7_1107600	conserved Plasmodium protein, unknown function
PF3D7_1107700	pescadillo homolog
PF3D7_1107800	AP2 domain transcription factor, putative
PF3D7_1107900	mechanosensitive ion channel protein, putative
PF3D7_1108000	IWS1-like protein, putative
PF3D7_1108100	conserved Plasmodium protein, unknown function
PF3D7_1108200	D-tyrosyl-tRNA(Tyr) deacylase
PF3D7_1108300	pterin-4a-carbinolamine dehydratase
PF3D7_1108400	casein kinase 2, alpha subunit
PF3D7_1108500	succinyl-CoA synthetase alpha subunit, putative
PF3D7_1108600	endoplasmic reticulum-resident calcium binding protein
PF3D7_1108700	heat shock protein J2
PF3D7_1108800	conserved Plasmodium protein, unknown function
PF3D7_1108900	tetratricopeptide repeat protein, putative
PF3D7_1109000	small nucleolar RNA snoR07
PF3D7_1109100	conserved Plasmodium protein, unknown function
PF3D7_1109200	conserved Plasmodium protein, unknown function
PF3D7_1109300	small nucleolar RNA snR61/Z1/Z11
PF3D7_1109400	essential nuclear protein 1, putative
PF3D7_1109500	small nucleolar RNA snoR09
PF3D7_1109600	small nucleolar RNA SNORD127
PF3D7_1109700	small nucleolar RNA snoR11
PF3D7_1109800	small nucleolar RNA snoR12
PF3D7_1109900	60S ribosomal protein L36
PF3D7_1110000	conserved Plasmodium protein, unknown function
PF3D7_1110100	conserved Plasmodium protein, unknown function
PF3D7_1110200	pre-mRNA-processing factor 6, putative
PF3D7_1110300	G-patch domain-containing protein, putative
PF3D7_1110400	RNA-binding protein, putative
PF3D7_1110500	vacuolar protein sorting-associated protein 35, putative
PF3D7_1110600	ribosomal protein L11, mitochondrial, putative
PF3D7_1110700	actin-like protein, putative
PF3D7_1110800	conserved Plasmodium protein, unknown function
PF3D7_1110900	ES2 protein, putative
PF3D7_1111000	tRNA m5C-methyltransferase, putative
PF3D7_1111100	replication factor C subunit 5, putative
PF3D7_1111200	conserved protein, unknown function
PF3D7_1111300	protein transport protein BOS1, putative
PF3D7_1111400	conserved Plasmodium protein, unknown function
PF3D7_1111500	acylphosphatase, putative
PF3D7_1111600	endonuclease/exonuclease/phosphatase family protein, putative
PF3D7_1111700	conserved Plasmodium protein, unknown function
PF3D7_1111800	peptidyl-prolyl cis-trans isomerase, putative
PF3D7_1111900	Josephin domain-containing protein, putative
PF3D7_1112000	conserved protein, unknown function
PF3D7_1112100	conserved Plasmodium protein, unknown function
PF3D7_1112200	ubiquinone biosynthesis protein COQ4, putative
PF3D7_1112300	conserved Plasmodium protein, unknown function
PF3D7_1112400	nucleic acid binding protein, putative
PF3D7_1112500	RNA transcription, translation and transport factor protein, putative
PF3D7_1112600	ATPase, putative
PF3D7_1112700	conserved Plasmodium protein, unknown function
PF3D7_1112800	conserved protein, unknown function
PF3D7_1112900	conserved protein, unknown function
