Transcript_ID	Product_Description
PF3D7_1002400.2	transformer-2 protein homolog beta, putative
PF3D7_1002500.1	conserved protein, unknown function
PF3D7_1002600.1	conserved Plasmodium protein, unknown function
PF3D7_1002700.1	conserved Plasmodium protein, unknown function
PF3D7_1002800.1	DnaJ protein, putative
PF3D7_1002900.1	conserved Plasmodium protein, unknown function
PF3D7_1003000.1	guanylate cyclase organizer UGO, putative
PF3D7_1003100.1	conserved protein, unknown function
PF3D7_1003200.1	ribosome-binding factor A, putative
PF3D7_1003300.1	N-terminal acetyltransferase A complex catalytic subunit ARD1, putative
PF3D7_1003400.1	conserved Plasmodium protein, unknown function
PF3D7_1003500.1	40S ribosomal protein S20e, putative
PF3D7_1003600.1	inner membrane complex protein 1c, putative
PF3D7_1003700.1	MKT1 domain-containing protein, putative
PF3D7_1003800.1	U5 small nuclear ribonucleoprotein component, putative
PF3D7_1003900.1	dynein attachment factor-domain containing protein, putative
PF3D7_1004000.1	60S ribosomal protein L13, putative
PF3D7_1004100.1	conserved Plasmodium protein, unknown function
PF3D7_1004200.1	WD repeat-containing protein, putative
PF3D7_1004300.1	E3 ubiquitin-protein ligase, putative
PF3D7_1004400.1	RNA-binding protein, putative
PF3D7_1004500.1	conserved Plasmodium protein, unknown function
PF3D7_1004600.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1004700.1	conserved protein, unknown function
PF3D7_1004800.1	ADP/ATP carrier protein, putative
PF3D7_1004900.1	conserved protein, unknown function
PF3D7_1005000.1	methionine--tRNA ligase, putative
PF3D7_1005100.1	U3 small nucleolar RNA-associated protein 25, putative
PF3D7_1005200.1	conserved Plasmodium protein, unknown function
PF3D7_1005300.1	conserved Plasmodium protein, unknown function
PF3D7_1005400.1	conserved Plasmodium protein, unknown function
PF3D7_1005500.1	regulator of nonsense transcripts 1, putative
PF3D7_1005600.1	DnaJ protein, putative
PF3D7_1005700.1	peptidase, putative
PF3D7_1005800.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1005900.1	conserved protein, unknown function
PF3D7_1006000.1	IMP1-like protein, putative
PF3D7_1006100.1	CCR4-NOT transcription complex subunit 5, putative
PF3D7_1006200.1	DNA/RNA-binding protein Alba 3
PF3D7_1006300.1	conserved Plasmodium protein, unknown function
PF3D7_1006400.1	heptatricopeptide repeat-containing protein, putative
PF3D7_1006500.1	conserved Plasmodium protein, unknown function
PF3D7_1006600.1	phosducin-like protein 3, putative
PF3D7_1006700.1	conserved Plasmodium protein, unknown function
PF3D7_1006800.1	G-strand-binding protein 2, putative
PF3D7_1006900.1	PPPDE peptidase, putative
PF3D7_1007000.1	transmembrane protein 147, putative
PF3D7_1007100.1	roadblock/LC7 domain-containing protein, putative
PF3D7_1007200.1	rho GTPase-activating protein, putative
PF3D7_1007300.1	RING zinc finger protein, putative
PF3D7_1007400.1	conserved protein, unknown function
PF3D7_1007500.1	conserved Plasmodium protein, unknown function
PF3D7_1007600.1	conserved protein, unknown function
PF3D7_1007700.1	AP2 domain transcription factor AP2-I
PF3D7_1007800.1	conserved Plasmodium protein, unknown function
PF3D7_1007900.1	eukaryotic translation initiation factor 3 subunit D, putative
PF3D7_1008000.1	histone deacetylase 2
PF3D7_1008100.1	PHD finger protein PHD1
PF3D7_1008200.1	flap endonuclease, putative
PF3D7_1008300.1	AP-5 complex subunit sigma-1, putative, pseudogene
PF3D7_1008400.1	26S protease regulatory subunit 4, putative
PF3D7_1008500.1	protein GPR89, putative
PF3D7_1008600.1	zinc finger (CCCH type) protein, putative
PF3D7_1008700.1	tubulin beta chain
PF3D7_1008800.1	nucleolar protein 5, putative
PF3D7_1008900.1	adenylate kinase
PF3D7_1009000.1	diphthine methyl ester synthase, putative
PF3D7_1009100.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1009200.1	ribonuclease, putative
PF3D7_1009300.1	AMP-binding protein, putative
PF3D7_1009400.1	zinc finger protein, putative
PF3D7_1009500.1	metalloprotease, putative
PF3D7_1009600.1	protein phosphatase PPM10, putative
PF3D7_1009700.1	tubulin--tyrosine ligase, putative
PF3D7_1009800.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1009900.1	heptatricopeptide repeat-containing protein, putative
PF3D7_1010000.1	ribosomal protein L43, mitochondrial, putative
PF3D7_1010100.1	PI31 domain-containing protein, putative
PF3D7_1010200.1	DNA2/NAM7 helicase, putative
PF3D7_1010300.1	succinate dehydrogenase subunit 4, putative
PF3D7_1010400.1	MORN repeat protein, putative
PF3D7_1010500.1	ankyrin-repeat protein, putative
PF3D7_1010600.1	eukaryotic translation initiation factor 2 subunit beta
PF3D7_1010700.1	dolichyl-phosphate-mannose--protein mannosyltransferase, putative
PF3D7_1010800.1	50S ribosomal protein L22, mitochondrial, putative
PF3D7_1010900.1	conserved Plasmodium protein, unknown function
PF3D7_1011000.1	inner membrane complex sub-compartment protein 1
PF3D7_1011100.1	conserved Plasmodium protein, unknown function
PF3D7_1011200.1	BET1-like protein, putative
PF3D7_1011200.2	unspecified product
PF3D7_1011300.1	protein ARV1, putative
PF3D7_1011400.1	proteasome subunit beta type-5
PF3D7_1011500.1	conserved protein, unknown function
PF3D7_1011600.1	heptatricopeptide repeat-containing protein, putative
PF3D7_1011700.1	DNA repair protein RAD23, putative
PF3D7_1011800.1	PRE-binding protein
PF3D7_1011900.1	heme oxygenase
PF3D7_1012000.1	RING zinc finger protein, putative
PF3D7_1012100.1	conserved protein, unknown function
PF3D7_1012200.1	rhoptry associated adhesin
PF3D7_1012300.1	cytochrome b-c1 complex subunit 7, putative
PF3D7_1012400.1	hypoxanthine-guanine phosphoribosyltransferase
PF3D7_1012500.1	phosphoglucomutase, putative
PF3D7_1012600.1	GMP synthase [glutamine-hydrolyzing]
PF3D7_1012700.1	NLI interacting factor-like phosphatase, putative
PF3D7_1012800.1	conserved Plasmodium protein, unknown function
PF3D7_1012900.1	autophagy-related protein 18
PF3D7_1013000.1	zinc finger protein, putative
PF3D7_1013100.1	U3 small nucleolar RNA-associated protein 13, putative
PF3D7_1013200.1	conserved Plasmodium protein, unknown function
PF3D7_1013300.1	conserved Plasmodium protein, unknown function
PF3D7_1013400.1	conserved Plasmodium protein, unknown function
PF3D7_1013500.1	phosphoinositide-specific phospholipase C
PF3D7_1013600.1	conserved Plasmodium protein, unknown function
PF3D7_1013700.1	conserved Plasmodium protein, unknown function
PF3D7_1013800.1	conserved Plasmodium protein, unknown function
PF3D7_1013900.1	translation initiation factor eIF-2B subunit delta, putative
PF3D7_1014000.1	GDP-L-fucose synthase
PF3D7_1014100.1	merozoite surface protein MSA180
PF3D7_1014200.1	male gamete fusion factor HAP2, putative
PF3D7_1014300.1	SPRY domain-containing protein, putative
PF3D7_1014400.1	MO15-related protein kinase
PF3D7_1014500.1	conserved Plasmodium protein, unknown function
PF3D7_1014600.1	transcriptional coactivator ADA2
PF3D7_1014700.1	prohibitin 2, putative
PF3D7_1014800.1	conserved Plasmodium protein, unknown function
PF3D7_1014900.1	protein KIC8
PF3D7_1015000.1	FAD synthetase, putative
PF3D7_1015100.1	CWC16 domain-containing protein, putative
PF3D7_1015200.1	cysteine--tRNA ligase
PF3D7_1015200.2	cysteine--tRNA ligase
PF3D7_1015200.3	cysteine--tRNA ligase
PF3D7_1015300.1	methionine aminopeptidase 1b, putative
PF3D7_1015400.1	conserved Plasmodium protein, unknown function
PF3D7_1015500.1	nucleotidyltransferase, putative
PF3D7_1015600.1	heat shock protein 60
PF3D7_1015700.1	tubulin binding cofactor c, putative
PF3D7_1015700.2	tubulin binding cofactor c, putative
PF3D7_1015800.1	ribonucleoside-diphosphate reductase small chain, putative
PF3D7_1015900.1	enolase
PF3D7_1016000.1	conserved Plasmodium protein, unknown function
PF3D7_1016100.1	conserved Plasmodium protein, unknown function
PF3D7_1016200.1	Rab3 GTPase-activating protein non-catalytic subunit, putative
PF3D7_1016300.1	GBP130 protein
PF3D7_1016400.1	serine/threonine protein kinase, FIKK family
PF3D7_1016500.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016600.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016700.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016800.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_1016900.1	early transcribed membrane protein 10.3
PF3D7_1017000.1	DNA polymerase delta catalytic subunit
PF3D7_1017100.1	rhoptry neck protein 12
PF3D7_1017200.1	enoyl-CoA hydratase-related protein, putative
PF3D7_1017300.1	golgi re-assembly stacking protein 1
PF3D7_1017300.2	golgi re-assembly stacking protein 2
PF3D7_1017400.1	phosphomannomutase, putative
PF3D7_1017500.1	myosin essential light chain ELC
PF3D7_1017600.1	conserved Plasmodium protein, unknown function
PF3D7_1017700.1	conserved Plasmodium protein, unknown function
PF3D7_1017800.1	conserved Plasmodium protein, unknown function
PF3D7_1017900.1	26S proteasome regulatory subunit p55, putative
PF3D7_1018000.1	tRNA pseudouridine synthase, putative
PF3D7_1018100.1	conserved Plasmodium protein, unknown function
PF3D7_1018200.1	serine/threonine protein phosphatase 8, putative
PF3D7_1018300.1	peptidase, putative
PF3D7_1018400.1	conserved Plasmodium protein, unknown function
PF3D7_1018500.1	pre-mRNA-splicing factor RDS3, putative
PF3D7_1018600.1	tRNA wybutosine-synthesizing protein, putative
PF3D7_1018700.1	conserved Plasmodium protein, unknown function
PF3D7_1018800.1	conserved protein, unknown function
PF3D7_1018900.1	conserved Plasmodium protein, unknown function
PF3D7_1019000.1	eukaryotic translation initiation factor subunit eIF2A, putative
PF3D7_1019100.1	conserved Plasmodium protein, unknown function
PF3D7_1019200.1	conserved Plasmodium protein, unknown function
PF3D7_1019300.1	zinc finger protein, putative
PF3D7_1019400.1	60S ribosomal protein L30e, putative
PF3D7_1019500.1	TMEM94 domain-containing protein, putative
PF3D7_1019500.2	TMEM94 domain-containing protein, putative
PF3D7_1019600.1	conserved Plasmodium protein, unknown function
PF3D7_1019700.1	conserved Plasmodium protein, unknown function
PF3D7_1019800.1	tRNA methyltransferase, putative
PF3D7_1019900.1	autophagy-related protein 8
PF3D7_1020000.1	RNA-binding protein 34, putative
PF3D7_1020100.1	flagellar outer arm dynein-associated protein, putative
PF3D7_1020200.1	conserved Plasmodium protein, unknown function
PF3D7_1020300.1	cytoplasmic dynein intermediate chain, putative
PF3D7_1020400.1	rRNA (cytosine-C(5))-methyltransferase, putative
PF3D7_1020500.1	ribosomal silencing factor RsfS, putative
PF3D7_1020600.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1020700.1	N-acetyltransferase, GNAT family, putative
PF3D7_1020800.1	dihydrolipoamide acyltransferase component E2
PF3D7_1020900.1	ADP-ribosylation factor
PF3D7_1021000.1	conserved protein, unknown function
PF3D7_1021100.1	conserved Plasmodium protein, unknown function
PF3D7_1021200.1	conserved Plasmodium protein, unknown function
PF3D7_1021300.1	apicoplast integral membrane protein, putative
PF3D7_1021400.1	endomembrane protein 70, putative
PF3D7_1021500.1	ATP-dependent RNA helicase ROK1, putative
PF3D7_1021600.1	deoxyribose-phosphate aldolase, putative
PF3D7_1021700.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1021800.1	schizont egress antigen-1
PF3D7_1021900.1	PHAX domain-containing protein, putative
PF3D7_1022000.1	RNA-binding protein, putative
PF3D7_1022100.1	methyltransferase, putative
PF3D7_1022200.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1022300.1	ZIP domain-containing protein, putative
PF3D7_1022400.1	serine/arginine-rich splicing factor 4
PF3D7_1022500.1	citrate synthase, mitochondrial, putative
PF3D7_1022600.1	kelch protein K10
PF3D7_1022700.1	phospholipid scramblase, putative
PF3D7_1022800.1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), putative
PF3D7_1022900.1	CDGSH iron-sulfur domain-containing protein, putative
PF3D7_1023000.1	conserved Plasmodium protein, unknown function
PF3D7_1023100.1	dynein heavy chain, putative
PF3D7_1023200.1	orotidine 5'-phosphate decarboxylase
PF3D7_1023300.1	conserved protein, unknown function
PF3D7_1023400.1	HORMA domain protein, putative
PF3D7_1023500.1	conserved Plasmodium protein, unknown function
PF3D7_1023600.1	conserved protein, unknown function
PF3D7_1023700.1	conserved Plasmodium protein, unknown function
PF3D7_1023800.1	conserved Plasmodium protein, unknown function
PF3D7_1023900.1	chromodomain-helicase-DNA-binding protein 1 homolog, putative
PF3D7_1024000.1	conserved Plasmodium protein, unknown function
PF3D7_1024100.1	conserved Plasmodium protein, unknown function
PF3D7_1024200.1	RNA-binding protein, putative
PF3D7_1024300.1	ATP synthase-associated protein, putative
PF3D7_1024400.1	conserved Plasmodium protein, unknown function
PF3D7_1024500.1	conserved Plasmodium protein, unknown function
PF3D7_1024600.1	RAP protein, putative
PF3D7_1024700.1	conserved protein, unknown function
PF3D7_1024800.1	exported protein 3
PF3D7_1024900.1	conserved Plasmodium protein, unknown function
PF3D7_1025000.1	Eps15-like protein
PF3D7_1025100.1	glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative
PF3D7_1025200.1	ATP synthase mitochondrial F1 complex assembly factor 2, putative
PF3D7_1025300.1	conserved protein, unknown function
PF3D7_1025400.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1025500.1	conserved Plasmodium protein, unknown function
PF3D7_1025600.1	cytochrome c oxidase copper chaperone, putative
PF3D7_1025700.1	conserved protein, unknown function
PF3D7_1025800.1	conserved protein, unknown function
PF3D7_1025900.1	conserved protein, unknown function
PF3D7_1026000.1	conserved Plasmodium protein, unknown function
PF3D7_1026100.1	conserved Plasmodium protein, unknown function
PF3D7_1026200.1	conserved protein, unknown function
PF3D7_1026300.1	conserved Plasmodium protein, unknown function
PF3D7_1026400.1	cell division cycle protein 20 homolog, putative
PF3D7_1026500.1	conserved Plasmodium protein, unknown function
PF3D7_1026600.1	conserved Plasmodium protein, unknown function
PF3D7_1026800.1	40S ribosomal protein S2
PF3D7_1026900.1	biotin--protein ligase 1
PF3D7_1027000.1	conserved Plasmodium protein, unknown function
PF3D7_1027100.1	U3 small nucleolar ribonucleoprotein protein MPP10, putative
PF3D7_1027200.1	ribosomal protein S22, mitochondrial, putative
PF3D7_1027300.1	peroxiredoxin
PF3D7_1027400.1	DNA-directed RNA polymerase II subunit RPB7, putative
PF3D7_1027500.1	conserved Plasmodium protein, unknown function
PF3D7_1027600.1	meiotic recombination protein SPO11-2, putative
PF3D7_1027700.1	centrin-3
PF3D7_1027700.2	centrin-3
PF3D7_1027800.1	60S ribosomal protein L3
PF3D7_1027900.1	palmitoyltransferase DHHC10, putative
PF3D7_1028000.1	methyltransferase, putative
PF3D7_1028100.1	protoporphyrinogen oxidase
PF3D7_1028200.1	RING zinc finger protein, putative
PF3D7_1028300.1	rRNA-processing protein EBP2, putative
PF3D7_1028400.1	ribosome biogenesis protein RPF2, putative
PF3D7_1028500.1	partial CSTF domain-containing protein, putative
PF3D7_1028600.1	conserved Plasmodium protein, unknown function
PF3D7_1028700.1	merozoite TRAP-like protein
PF3D7_1028800.1	conserved protein, unknown function
PF3D7_1028900.1	inner membrane complex protein 1m, putative
PF3D7_1029000.1	conserved Plasmodium protein, unknown function, pseudogene
PF3D7_1029100.1	conserved Plasmodium protein, unknown function
PF3D7_1029100.2	conserved Plasmodium protein, unknown function
PF3D7_1029200.1	WD repeat-containing protein, putative
PF3D7_1029300.1	conserved protein, unknown function
PF3D7_1029400.1	LEM3/CDC50 family protein, putative
PF3D7_1029500.1	conserved Plasmodium protein, unknown function
PF3D7_1029600.1	adenosine deaminase
PF3D7_1029700.1	conserved Plasmodium protein, unknown function
PF3D7_1029800.1	heptatricopeptide repeat and RAP domain-containing protein, putative
PF3D7_1029900.1	conserved Plasmodium protein, unknown function
PF3D7_1030000.1	transcription elongation factor SPT4, putative
PF3D7_1030100.1	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative
PF3D7_1030200.1	claudin-like apicomplexan microneme protein, putative
PF3D7_1030300.1	conserved Plasmodium protein, unknown function
PF3D7_1030400.1	conserved protein, unknown function
PF3D7_1030500.1	26S proteasome regulatory subunit RPN9, putative
PF3D7_1030600.1	tRNA N6-adenosine threonylcarbamoyltransferase
PF3D7_1030700.1	RNA methyltransferase, putative
PF3D7_1030800.1	calmodulin, putative
PF3D7_1030900.1	ookinete surface protein P28
PF3D7_1031000.1	ookinete surface protein P25
PF3D7_1031100.1	conserved Plasmodium protein, unknown function
PF3D7_1031200.1	MORN repeat-containing protein 1
PF3D7_1031300.1	SAE2 domain-containing protein, putative
PF3D7_1031400.1	OTU-like cysteine protease
PF3D7_1031400.2	OTU-like cysteine protease
PF3D7_1031500.1	DEAD/DEAH box helicase, putative
PF3D7_1031600.1	protein GEXP15
PF3D7_1031700.1	protein phosphatase inhibitor 3
PF3D7_1031800.1	conserved protein, unknown function
PF3D7_1031900.1	conserved Plasmodium protein, unknown function
PF3D7_1032000.1	ribosome maturation factor RimM, putative
PF3D7_1032100.1	mRNA-decapping enzyme subunit 1, putative
PF3D7_1032200.1	conserved Plasmodium protein, unknown function
PF3D7_1032300.1	conserved protein, unknown function
PF3D7_1032400.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative
PF3D7_1032500.1	DER1-like protein, putative
PF3D7_1032600.1	conserved protein, unknown function
PF3D7_1032700.1	conserved Plasmodium protein, unknown function
PF3D7_1032800.1	leucine-rich repeat protein
PF3D7_1032900.1	RNA polymerase II-associated protein 1, putative
PF3D7_1033000.1	heptatricopeptide repeat-containing protein HPR1, putative
PF3D7_1033100.1	S-adenosylmethionine decarboxylase/ornithine decarboxylase
PF3D7_1033200.1	early transcribed membrane protein 10.2
PF3D7_1033300.1	conserved protein, unknown function
PF3D7_1033400.1	haloacid dehalogenase-like hydrolase
PF3D7_1033500.1	WD repeat-containing protein 70, putative
PF3D7_1033600.1	pre-mRNA-splicing factor CEF1, putative
PF3D7_1033700.1	bromodomain protein 1
PF3D7_1033800.1	plasmepsin VII
PF3D7_1033900.1	ubiquitin-conjugating enzyme E2, putative
PF3D7_1034000.1	Sec1 family protein, putative
PF3D7_1034100.1	conserved protein, unknown function
PF3D7_1034200.1	ribosomal protein L27, putative
PF3D7_1034300.1	thioredoxin-like associated protein 2, putative
PF3D7_1034400.1	flavoprotein subunit of succinate dehydrogenase
PF3D7_1034500.1	conserved Plasmodium protein, unknown function
PF3D7_1034600.1	translation initiation factor IF-3, putative
PF3D7_1034700.1	ADP-ribosylation factor, putative
PF3D7_1034800.1	conserved protein, unknown function
PF3D7_1034900.1	methionine--tRNA ligase
PF3D7_1035000.1	U2 snRNA/tRNA pseudouridine synthase, putative
PF3D7_1035100.1	probable protein, unknown function
PF3D7_1035200.1	S-antigen
PF3D7_1035300.1	glutamate-rich protein GLURP
PF3D7_1035400.1	merozoite surface protein 3
PF3D7_1035500.1	merozoite surface protein 6
PF3D7_1035600.1	merozoite surface protein
PF3D7_1035700.1	duffy binding-like merozoite surface protein
PF3D7_1035800.1	probable protein, unknown function
PF3D7_1035900.1	merozoites-associated armadillo repeats protein
PF3D7_1036000.1	merozoite surface protein 11
PF3D7_1036300.1	duffy binding-like merozoite surface protein 2
PF3D7_1036400.1	liver stage antigen 1
PF3D7_1036500.1	conserved Plasmodium protein, unknown function
PF3D7_1036600.1	conserved protein, unknown function
PF3D7_1036600.2	unspecified product
PF3D7_1036700.1	phosducin-like protein 2, putative
PF3D7_1036800.1	acetyl-CoA transporter, putative
PF3D7_1036900.1	conserved Plasmodium protein, unknown function
PF3D7_1037000.1	DNA polymerase zeta catalytic subunit, putative
PF3D7_1037100.1	pyruvate kinase 2
PF3D7_1037200.1	conserved Plasmodium protein, unknown function
PF3D7_1037300.1	ADP/ATP transporter on adenylate translocase
PF3D7_1037400.1	conserved Plasmodium protein, unknown function
PF3D7_1037500.1	dynamin-like protein
PF3D7_1037600.1	TFIIH basal transcription factor complex helicase XPB subunit, putative
PF3D7_1037700.1	enhancer of rudimentary homolog, putative
PF3D7_1037800.1	dynein intermediate chain, putative
PF3D7_1037900.1	conserved Plasmodium protein, unknown function
PF3D7_1038000.1	antigen UB05
PF3D7_1038000.2	antigen UB05
PF3D7_1038100.1	GDP dissociation inhibitor, putative
PF3D7_1038200.1	conserved Plasmodium protein, unknown function
PF3D7_1038300.1	conserved Plasmodium protein, unknown function
PF3D7_1038400.1	gametocyte-specific protein
PF3D7_1038500.1	Plasmodium exported protein, unknown function
PF3D7_1038600.1	Plasmodium exported protein, unknown function
PF3D7_1038700.1	Plasmodium exported protein, unknown function
PF3D7_1038800.1	RESA-like protein with PHIST and DnaJ domains
PF3D7_1038900.1	esterase, putative
PF3D7_1039000.1	serine/threonine protein kinase, FIKK family
PF3D7_1039100.1	DnaJ protein, putative, pseudogene
PF3D7_1039200.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_1039400.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1039600.1	exported protein family 1, pseudogene
PF3D7_1039700.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1039800.1	exported protein family 3
PF3D7_1039900.1	exported protein family 4
PF3D7_1040000.1	rifin
PF3D7_1040100.1	rifin
PF3D7_1040200.1	stevor
PF3D7_1040300.1	rifin
PF3D7_1040400.1	rifin
PF3D7_1040500.1	rifin
PF3D7_1040600.1	rifin
PF3D7_1040700.1	rifin
PF3D7_1040800.1	rifin
PF3D7_1040900.1	rifin
PF3D7_1041000.1	rifin
PF3D7_1041100.1	rifin
PF3D7_1041200.1	rifin
PF3D7_1041300.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_1100100.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_1100200.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_1100300.1	rifin
PF3D7_1100400.1	rifin
PF3D7_1100500.1	rifin
PF3D7_1100600.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene
PF3D7_1100700.1	stevor, pseudogene
PF3D7_1100800.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1100900.1	exported protein family 1, pseudogene
PF3D7_1101000.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1101100.1	rifin
PF3D7_1101200.1	rifin
PF3D7_1101300.1	rifin
PF3D7_1101400.1	rifin, pseudogene
PF3D7_1101500.1	exported protein family 4
PF3D7_1101600.1	exported protein family 3
PF3D7_1101700.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1101800.1	exported protein family 1
PF3D7_1101900.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_1102100.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_1102200.1	DnaJ protein, putative
PF3D7_1102300.1	Plasmodium exported protein, unknown function
PF3D7_1102400.1	phosphopantothenate--cysteine ligase, putative
PF3D7_1102500.1	gametocyte exported protein 2
PF3D7_1102600.1	Plasmodium exported protein, unknown function
PF3D7_1102700.1	early transcribed membrane protein 11.1
PF3D7_1102800.1	early transcribed membrane protein 11.2
PF3D7_1102900.1	Plasmodium exported protein (hyp11), unknown function
PF3D7_1103000.1	conserved Plasmodium protein, unknown function
PF3D7_1103100.1	60S acidic ribosomal protein P1, putative
PF3D7_1103200.1	tRNA Glycine
PF3D7_1103300.1	tRNA Leucine
PF3D7_1103400.1	iron-sulfur cluster assembly protein SufD
PF3D7_1103500.1	CPW-WPC family protein
PF3D7_1103600.1	actin-like protein, putative
PF3D7_1103700.1	casein kinase II beta chain
PF3D7_1103800.1	CCR4-NOT transcription complex subunit 1, putative
PF3D7_1103900.1	RIIa domain-containing protein, putative
PF3D7_1104000.1	phenylalanine--tRNA ligase beta subunit
PF3D7_1104100.1	syntaxin, Qa-SNARE family
PF3D7_1104200.1	chromatin remodeling protein
PF3D7_1104300.1	conserved Plasmodium protein, unknown function
PF3D7_1104400.1	thioredoxin-like mero protein
PF3D7_1104500.1	WD repeat-containing protein, putative
PF3D7_1104600.1	radial spoke head protein, putative
PF3D7_1104700.1	DNA-directed RNA polymerase III subunit RPC8, putative
PF3D7_1104700.2	DNA-directed RNA polymerase III subunit RPC8, putative
PF3D7_1104800.1	metabolite/drug transporter, putative
PF3D7_1104900.1	calcium/calmodulin-dependent protein kinase, putative
PF3D7_1105000.1	histone H4
PF3D7_1105100.1	histone H2B
PF3D7_1105200.1	WD repeat-containing protein WRAP73, putative
PF3D7_1105300.1	conserved Plasmodium protein, unknown function
PF3D7_1105400.1	40S ribosomal protein S4, putative
PF3D7_1105500.1	centrin-4
PF3D7_1105600.1	translocon component PTEX88
PF3D7_1105700.1	tRNA-splicing ligase RtcB, putative
PF3D7_1105800.1	conserved Apicomplexan protein, unknown function
PF3D7_1105900.1	conserved Plasmodium membrane protein, unknown function
PF3D7_1106000.1	RuvB-like helicase 2
PF3D7_1106100.1	ribosomal protein S15, apicoplast, putative
PF3D7_1106200.1	conserved Plasmodium protein, unknown function
PF3D7_1106300.1	5'-3' exoribonuclease 1, putative
PF3D7_1106400.1	conserved Plasmodium protein, unknown function
PF3D7_1106500.1	conserved Plasmodium protein, unknown function
PF3D7_1106600.1	DEAD/DEAH box helicase, putative
PF3D7_1106700.1	DNA replication ATP-dependent helicase/nuclease DNA2, putative
PF3D7_1106800.1	pseudo-tyrosine kinase-like protein
PF3D7_1106900.1	conserved Plasmodium protein, unknown function
PF3D7_1107000.1	U6 snRNA-associated Sm-like protein LSm4, putative
PF3D7_1107100.1	nucleic acid binding protein, putative
PF3D7_1107200.1	conserved protein, unknown function
PF3D7_1107300.1	polyadenylate-binding protein-interacting protein 1, putative
PF3D7_1107400.1	DNA repair protein RAD51
PF3D7_1107500.1	prefoldin, putative
PF3D7_1107600.1	conserved Plasmodium protein, unknown function
PF3D7_1107700.1	pescadillo homolog
PF3D7_1107800.1	AP2 domain transcription factor, putative
PF3D7_1107900.1	mechanosensitive ion channel protein, putative
PF3D7_1108000.1	IWS1-like protein, putative
PF3D7_1108100.1	conserved Plasmodium protein, unknown function
PF3D7_1108200.1	D-tyrosyl-tRNA(Tyr) deacylase
PF3D7_1108300.1	pterin-4a-carbinolamine dehydratase
PF3D7_1108400.1	casein kinase 2, alpha subunit
PF3D7_1108500.1	succinyl-CoA synthetase alpha subunit, putative
PF3D7_1108600.1	endoplasmic reticulum-resident calcium binding protein
PF3D7_1108700.1	heat shock protein J2
PF3D7_1108800.1	conserved Plasmodium protein, unknown function
PF3D7_1108900.1	tetratricopeptide repeat protein, putative
PF3D7_1109000.1	small nucleolar RNA snoR07
PF3D7_1109100.1	conserved Plasmodium protein, unknown function
PF3D7_1109200.1	conserved Plasmodium protein, unknown function
PF3D7_1109300.1	small nucleolar RNA snR61/Z1/Z11
PF3D7_1109400.1	essential nuclear protein 1, putative
PF3D7_1109500.1	small nucleolar RNA snoR09
PF3D7_1109600.1	small nucleolar RNA SNORD127
PF3D7_1109700.1	small nucleolar RNA snoR11
PF3D7_1109800.1	small nucleolar RNA snoR12
PF3D7_1109900.1	60S ribosomal protein L36
PF3D7_1110000.1	conserved Plasmodium protein, unknown function
PF3D7_1110100.1	conserved Plasmodium protein, unknown function
PF3D7_1110200.1	pre-mRNA-processing factor 6, putative
PF3D7_1110300.1	G-patch domain-containing protein, putative
PF3D7_1110400.1	RNA-binding protein, putative
PF3D7_1110500.1	vacuolar protein sorting-associated protein 35, putative
PF3D7_1110600.1	ribosomal protein L11, mitochondrial, putative
PF3D7_1110700.1	actin-like protein, putative
PF3D7_1110800.1	conserved Plasmodium protein, unknown function
PF3D7_1110900.1	ES2 protein, putative
PF3D7_1111000.1	tRNA m5C-methyltransferase, putative
PF3D7_1111100.1	replication factor C subunit 5, putative
PF3D7_1111200.1	conserved protein, unknown function
PF3D7_1111300.1	protein transport protein BOS1, putative
PF3D7_1111400.1	conserved Plasmodium protein, unknown function
